"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Acipenser stellatus",NA,NA,"NaN",NA,NA,NA
"2","Acetes japonicus","15.97","15.97","21.18","28.8","28.83",NA
"3","Acanthopagrus schlegelii","13.52","19.43","19.98","21.06","23.89","27.08"
"4","Acanthopagrus latus","19.43","19.46","20.11","22.36","25.35","28.53"
"5","Acanthopagrus bifasciatus","17.24","24.64","24.64","24.41","26.48","26.74"
"6","Acanthopagrus berda","17.21","20.88","22.82","22.6","23.57","28.9"
"7",NA,NA,NA,NA,NA,NA,NA
