"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Acipenser stellatus","15.22","15.22","15.22","15.7","16.01","19.44"
"2","Acetes japonicus","19.51","28.11","24.05","28.59","29.03",NA
"3","Acanthopagrus schlegelii","9.67","18.88","19.68","20.83","23.46","28.89"
"4","Acanthopagrus latus","15.08","20","25.03","23.92","27.02","29.23"
"5","Acanthopagrus bifasciatus","17.24","24.6","26.45","26.12","27.36","29.98"
"6","Acanthopagrus berda","17.21","22.56","23.57","23.99","26.69","29.48"
"7",NA,NA,NA,NA,NA,NA,NA
