"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Pungitius pungitius","-0.46","7.56","8.28","7.782","8.41","11.64"
"2","Nodipecten subnodosus","24.23","24.23","24.23","24.23","24.23","24.23"
"3","Macrocystis pyrifera","3.99","14.41","15.43","15.98","17.29","21.56"
"4","Naso vlamingii","14.18","28.05","28.59","28.35","28.73","29.45"
"5",NA,NA,NA,NA,NA,NA,NA
