"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Siganus guttatus","24.49","27.29","28.96","28.38","29.21","29.35"
"2","Palmaria palmata","4.93","10.67","11.79","11.28","12.48","15.76"
"3","Palaemon adspersus","6.75","9.2","9.26","9.911","10.33","23"
"4","Naso vlamingii","14.18","28.05","28.59","28.35","28.73","29.45"
"5",NA,NA,NA,NA,NA,NA,NA
