"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"186","Caulerpa racemosa","14.59","21.58","26.16","24.98","27.05","29.34"
"187","Carcinus maenas","7.79","10.5","10.69","10.64","10.69","23.27"
"188","Carcinus aestuarii","14.49","17.44","18.83","18.59","19.75","23"
"189","Caranx sexfasciatus","20.38","26.67","28.05","27.29","28.7","30.11"
"190","Caranx ignobilis","15.48","25.09","25.52","25.57","26.07","29.81"
"191","Caranx hippos","7.52","24.11","24.55","24.15","25.08","28.69"
"192","Carangoides malabaricus","18.7","27.41","27.65","27.2","27.89","29.2"
"193","Callinectes sapidus","10.93","23.31","23.98","22.51","24.06","28.03"
"194","Bolinus brandaris","16.68","18.91","19.39","19.56","19.67","23.1"
"195","Aulacomya ater","3.99","13.61","14.06","13.58","14.7","19.07"
"196","Atherina boyeri","-1.66","16.88","17.44","16.24","17.57","19.89"
"197","Asaphis violascens","24.13","25.08","28.33","27.2","28.52","29.4"
"198","Argyrosomus regius","14.45","15.25","15.25","16.08","15.82","25.59"
"199","Argyrosomus japonicus","18.83","19.72","19.72","19.87","20.26","24.59"
"200","Argyrosomus hololepidotus","14.65","18.13","19.72","20.25","22.64","27.42"
"201","Anguilla japonica","13.52","28.82","28.83","27.6","28.89","29.03"
"202","Anguilla australis","14.07","17.18","20.57","20.17","23.12","26.11"
"203","Anguilla anguilla","6.94","9.85","10","10.29","10.31","22.14"
"204","Anarhichas lupus","-0.37","5.5","7.9","7.263","9.408","14.6"
"205","Anadara tuberculosa","26.75","26.77","26.77","26.79","26.78","27.52"
"206","Alaria esculenta","-0.46","6.305","10.36","9.119","11.22","15.39"
"207","Aequipecten opercularis","9.63","11.32","12.6","12.29","12.77","20.74"
"208","Acanthopagrus schlegelii","13.52","19.43","19.98","21.06","23.89","27.08"
"209","Acanthopagrus latus","19.43","19.46","20.11","22.36","25.35","28.53"
"210","Acanthopagrus berda","17.21","20.88","22.82","22.6","23.57","28.9"
"211",NA,NA,NA,NA,NA,NA,NA
