"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Palmaria palmata","4.93","10.67","11.79","11.28","12.48","15.76"
"2","Palaemon adspersus","6.75","9.2","9.26","9.911","10.33","23"
"3","Naso vlamingii","14.18","28.05","28.59","28.35","28.73","29.45"
"4",NA,NA,NA,NA,NA,NA,NA
