Species	Min	1stQ	Median	Mean	3rdQ	Max
Perna perna	14.51	20.22	23.12	21.95	23.49	28.69
Perna canaliculus	11.55	15.07	16.36	15.85	17.09	17.93
Penaeus vannamei	22.3	23.99	26.7	26.3	28.55	29.46
Penaeus stylirostris	22.42	25.16	26.59	26.14	27.68	28.32
Penaeus setiferus	12.76	23.26	23.92	23.6	24.02	28.27
Penaeus semisulcatus	19.75	27.38	27.75	27.39	27.87	29.49
Penaeus schmitti	21.52	23.58	26.9	26.09	27.08	28.53
Penaeus plebejus	15.25	19.65	20.26	20.87	21.58	27.32
Penaeus penicillatus	24.11	26.71	27.53	27.05	27.79	28.89
Penaeus monodon	17.73	22.32	23.24	24.33	27.25	29.82
Penaeus merguiensis	20.37	27.75	27.79	27.7	27.85	29.49
Penaeus kerathurus	17.16	20.09	21.65	21.31	21.71	27.79
Penaeus japonicus	15.91	23.05	23.07	23.38	23.09	29.22
Penaeus indicus	18.27	27.52	28.23	27.65	28.34	29.24
Penaeus esculentus	19.8	27.22	27.49	27.2	27.76	28.52
Penaeus chinensis	11.86	12.54	13.86	13.87	14.47	24.49
Pecten maximus	4.5	10.53	11.72	11.72	12.71	23.33
Pecten jacobaeus	17.17	17.81	18.38	18.8	18.94	27.92
Pecten fumatus	12.93	14.76	15.73	17.19	20.29	28.39
Patinopecten yessoensis	7.53	8.107	13.83	14.5	18.282	24.93
Paralichthys olivaceus	13.33	18.65	19.69	20.17	22.51	27.08
Paralichthys microps	12.7	12.7	12.7	12.7	12.7	12.7
Paracentrotus lividus	9.73	17.8	18.79	18.39	19.43	27.26
Paphia gallus	24.16	26.07	27.79	27.33	28.54	29.01
Panulirus polyphagus	23.2	27.02	27.84	27.84	28.81	29.57
Panulirus japonicus	19.53	20.66	22.46	23.13	24.55	29.01
Panulirus argus	10.32	27.42	27.8	27.51	28.05	28.89
Panopea generosa	9.19	9.87	10.09	10.31	10.56	12.54
Palmaria palmata	2.08	10.45	11.71	11.29	12.48	28.56
Palaemonetes varians	7.35	11.46	12.11	12.05	12.21	19.5
Palaemon serratus	9.63	11.24	11.96	12.05	12.65	27.1
Palaemon adspersus	6.75	9.2	10.21	11.61	11.34	23.02
Pagrus pagrus	11.27	19.3	19.3	21.23	23.46	28.06
Pagrus major	13.69	19.3	22.38	21.26	23.48	28.46
Pagrus caeruleostictus	19.04	24.59	25.69	25.62	27.59	28.06
Pagrus auriga	17.24	25.52	27.04	26.05	27.75	28.06
Pagrus auratus	10.8	16.9	17.19	17.18	17.49	28.6
Pagellus erythrinus	10.13	18.81	19.77	20.04	21.56	27.75
Pagellus bogaraveo	11.66	18.63	18.94	18.86	19.34	24.9
Ostrea lurida	9.32	9.57	10.55	10.55	11.29	17.34
Ostrea edulis	4.5	11.62	12.11	12.66	12.47	23.04
Ostrea conchaphila	11.51	23.22	27.12	23.3	27.2	27.44
Ostrea chilensis	9.06	12.17	13.4	13.71	15.05	28.87
Oplegnathus fasciatus	16.49	19.91	22.52	21.88	23.89	27.92
Oncorhynchus nerka	-0.31	9.23	9.31	9.751	10.48	11.67
Oncorhynchus mykiss	3.62	9.32	10.61	10.69	11.49	20.43
Oncorhynchus masou	4.08	6.12	6.31	9.288	12.412	20.69
Oncorhynchus kisutch	0.79	9.5	9.96	10.05	10.58	17.19
Oncorhynchus keta	-0.34	9.15	9.46	9.62	10.48	16.49
Oncorhynchus gorbuscha	-0.48	9.26	9.86	9.804	10.31	18.92
Oncorhynchus tshawytscha	0.36	9.81	10.58	9.494	10.61	25.58
